lead_id,lead_name,created_at,region,industry,channel,campaign_id,rep_id,lead_stage,estimated_value
24,Perez and Sons,2024-08-04,South,Manufacturing,Webinar,9,6,Lost,9591
25,"Weeks, Best and Guerra",2025-12-31,West,Manufacturing,LinkedIn Ads,7,8,Qualified,24295
26,"Bennett, Watkins and Williams",2025-01-17,South,Technology,Organic Search,1,6,Qualified,17794
27,Wood-Rivera,2024-05-03,South,Healthcare,Webinar,9,10,New,14078
28,Johnson Inc,2024-01-22,South,Retail,LinkedIn Ads,7,6,Proposal,22282
29,"Evans, Vance and Mcdowell",2024-08-13,East,Manufacturing,Referral,3,9,New,23679
30,Smith-Koch,2024-03-01,North,Healthcare,Webinar,8,5,New,13827
31,Glenn Group,2024-03-13,South,Finance,Paid Search,5,2,Qualified,24921
32,"Johnston, Lewis and Hahn",2025-05-12,South,Retail,Paid Search,4,6,New,21711
33,"Stewart, Hartman and Smith",2025-08-13,North,Education,Referral,3,4,Qualified,16338
34,Lewis LLC,2024-07-13,East,Manufacturing,Organic Search,10,9,New,17124
35,"Walker, Williams and Robertson",2024-12-28,North,Education,Webinar,8,4,Qualified,4775
36,Mccullough-Reed,2025-11-20,North,Manufacturing,Webinar,2,3,Proposal,6224
37,Harris-Contreras,2024-03-03,North,Finance,Webinar,8,3,Qualified,6580
38,Brock-Patterson,2024-09-11,South,Technology,Referral,3,6,New,17700
39,Thomas-Spencer,2024-05-23,East,Finance,Paid Search,4,11,Qualified,18159
40,"Molina, Rivera and Oneal",2024-09-12,West,Healthcare,Webinar,2,8,Won,17520
41,Brown-Moore,2025-07-17,South,Manufacturing,Webinar,2,10,New,20713
42,Goodwin-Shaw,2024-01-16,South,Retail,Webinar,8,10,Lost,8449
43,Walker-Mayer,2025-02-20,South,Retail,Paid Search,4,6,Qualified,16141
44,Ashley-Pennington,2024-03-01,North,Healthcare,Referral,3,5,New,15793
45,Green Group,2024-09-28,South,Education,Webinar,8,10,Lost,12347
46,Gomez LLC,2025-03-09,West,Manufacturing,Webinar,8,8,Proposal,21211
47,Fitzpatrick Group,2025-11-08,North,Retail,Organic Search,10,7,Proposal,9222
48,"Johnson, Holloway and Ramirez",2024-10-30,North,Healthcare,LinkedIn Ads,7,4,New,21978
49,Thomas-Lopez,2025-07-09,North,Finance,LinkedIn Ads,6,3,New,4873
50,"Mitchell, Smith and Harris",2024-02-21,South,Technology,Webinar,9,12,Proposal,20403
51,"Fuller, Taylor and Richards",2024-06-10,North,Technology,Paid Search,4,1,New,5625
52,Mcmahon-Valenzuela,2024-07-09,North,Healthcare,Paid Search,5,7,New,10707
53,"Mcknight, Atkinson and Franco",2025-02-17,South,Technology,Webinar,2,2,New,11067
54,"Lester, Rogers and Robles",2025-08-15,North,Technology,Organic Search,10,3,Proposal,5686
55,Figueroa PLC,2025-03-05,South,Technology,LinkedIn Ads,6,12,Proposal,20130
56,Keller Inc,2024-11-19,South,Retail,LinkedIn Ads,7,2,Lost,24945
57,"Davis, Walker and Kelly",2024-11-17,South,Education,Organic Search,10,2,New,7288
58,Lee-Howard,2025-11-18,East,Education,Webinar,2,11,Proposal,13360
59,Hines PLC,2024-03-15,East,Technology,Webinar,9,11,New,21448
60,"Reid, Andrews and Andrade",2024-04-12,North,Retail,Paid Search,5,7,New,19576
61,"Peterson, Johnson and Wright",2024-09-28,South,Finance,Organic Search,10,6,New,5254
62,Miller PLC,2024-09-07,North,Retail,Webinar,2,4,Qualified,17358
63,Reeves Ltd,2025-07-10,North,Technology,Paid Search,4,7,Proposal,24429
64,James LLC,2025-06-25,South,Technology,Referral,3,2,New,12810
65,"Gardner, Norton and Watson",2025-11-10,South,Retail,LinkedIn Ads,6,10,New,11666
66,"Murray, Rivera and Rose",2024-04-28,South,Manufacturing,Organic Search,1,10,Won,21128
67,"Singleton, Everett and Lopez",2024-06-08,West,Technology,Paid Search,4,8,New,9901
68,"George, Cox and Simpson",2024-12-17,North,Manufacturing,LinkedIn Ads,6,7,New,11650
69,Taylor-Mcdowell,2025-06-01,South,Healthcare,Webinar,9,6,Qualified,6024
70,Richardson and Sons,2025-10-11,South,Finance,Paid Search,5,12,Qualified,4444
71,"Reynolds, Graves and Patel",2024-01-04,South,Retail,Webinar,9,12,Qualified,23876
72,Henderson-Hall,2024-09-25,North,Education,Webinar,9,7,New,21077
73,"Nelson, Gonzalez and Saunders",2025-12-23,South,Healthcare,Organic Search,10,12,Qualified,6665
74,"Martinez, Newman and Clark",2024-03-18,East,Manufacturing,Webinar,9,9,Lost,7884
75,Rivers-Shepard,2025-07-12,North,Finance,LinkedIn Ads,7,3,New,22087
76,Ruiz-Daniels,2025-07-19,South,Retail,LinkedIn Ads,6,10,New,4370
77,Schwartz-Wilkerson,2024-11-11,East,Healthcare,Paid Search,4,9,Qualified,14724
78,"Robinson, Graham and Romero",2024-08-03,East,Manufacturing,Webinar,9,9,Proposal,6368
79,Ayala Inc,2024-12-28,North,Education,Referral,3,1,Won,23337
80,Kent Group,2024-06-07,South,Retail,Webinar,8,12,Lost,8324
81,Parker and Sons,2024-06-30,North,Healthcare,Organic Search,10,3,Won,8877
82,"Kaufman, Ellis and Lynch",2024-12-06,North,Education,Webinar,9,4,Won,24951
83,Ross-Mccall,2024-09-11,East,Manufacturing,Paid Search,5,11,New,6542
84,Wilson Ltd,2025-01-26,North,Education,Paid Search,5,4,Won,10288
85,"Gentry, Aguilar and Davis",2024-07-23,North,Education,LinkedIn Ads,7,7,Won,14457
86,Baker-Smith,2024-11-08,East,Retail,Referral,3,11,Won,10304
87,Edwards-Curry,2024-01-25,East,Education,Paid Search,4,11,Proposal,13756
88,Whitaker-Carlson,2024-10-12,North,Finance,Organic Search,10,4,Won,14506
89,Gillespie LLC,2025-10-18,North,Manufacturing,Webinar,9,3,Qualified,20570
90,Olson LLC,2024-12-05,North,Healthcare,Organic Search,1,7,Lost,11559
91,"Freeman, Smith and Bridges",2024-07-01,West,Finance,LinkedIn Ads,6,8,Proposal,4253
92,Yu-Allen,2024-04-21,North,Finance,Paid Search,4,5,Proposal,13278
93,Carlson-Weeks,2025-03-22,West,Technology,Webinar,2,8,Proposal,6789
94,Mckee-Mcneil,2025-01-29,East,Retail,Organic Search,10,11,Won,11346
95,"Hardin, Miller and Fletcher",2024-02-15,South,Healthcare,Paid Search,5,10,Proposal,20036
96,"Hale, Evans and Stephens",2025-07-05,South,Manufacturing,LinkedIn Ads,7,10,Proposal,24975
97,"Griffin, Robertson and Stark",2024-07-20,North,Healthcare,Webinar,9,5,Qualified,24765
98,"Edwards, Anderson and Faulkner",2024-12-04,North,Manufacturing,Organic Search,1,4,Proposal,7083
99,Simon LLC,2024-11-03,East,Manufacturing,Webinar,8,11,Qualified,16382
100,Chavez-Hall,2024-11-30,North,Finance,Organic Search,1,3,Qualified,21166
101,"Villa, Hampton and Patton",2024-05-10,South,Manufacturing,Webinar,9,2,New,15423
102,"Adams, Hernandez and Horn",2025-11-24,East,Retail,Webinar,8,11,Proposal,23169
103,Shannon-Flores,2025-08-05,North,Technology,Organic Search,10,3,Qualified,3013
104,Oliver and Sons,2024-11-07,South,Education,LinkedIn Ads,7,10,New,22004
105,Harris-Campbell,2025-09-13,South,Education,LinkedIn Ads,6,12,Proposal,17476
106,Collier-Coleman,2025-03-28,East,Technology,Webinar,9,11,Proposal,18505
107,"Smith, Bush and Lawrence",2024-06-22,East,Finance,Referral,3,11,Proposal,19890
108,Ramirez LLC,2025-11-10,East,Finance,Webinar,2,9,Proposal,6060
109,Wolf-Stafford,2024-08-28,West,Retail,Organic Search,1,8,Proposal,9525
110,Montoya-Hutchinson,2024-05-30,East,Retail,Webinar,9,11,New,18569
111,Williams-Abbott,2025-09-17,North,Healthcare,Webinar,2,5,Won,17923
112,Smith PLC,2025-02-28,South,Technology,Organic Search,1,12,Won,9371
113,Maldonado and Sons,2025-12-14,West,Education,Referral,3,8,Qualified,10994
114,Harris-Patel,2024-05-31,South,Healthcare,Paid Search,4,6,Proposal,6492
115,Rios and Sons,2025-03-11,North,Manufacturing,Organic Search,1,3,New,19972
116,"Silva, Flores and Lopez",2025-04-20,East,Retail,LinkedIn Ads,7,11,New,6976
117,Davis-Gross,2025-04-12,South,Education,Paid Search,5,6,New,24875
118,Ramos Ltd,2025-06-27,North,Technology,Referral,3,3,Lost,13397
119,Orozco-Johnson,2025-03-29,North,Manufacturing,Webinar,9,4,Proposal,19540
120,Hicks Inc,2025-03-12,East,Technology,Webinar,8,9,Won,17611
121,Farrell Inc,2024-06-11,North,Education,Webinar,8,4,Proposal,17747
122,Fields PLC,2024-09-22,West,Manufacturing,Webinar,2,8,Won,12086
123,"Shaw, Henderson and Chavez",2025-06-17,East,Retail,Webinar,8,9,Qualified,11998
124,"Brown, King and Atkins",2025-03-26,East,Finance,Paid Search,4,9,New,10683
125,Rush-Williams,2024-10-05,North,Technology,Referral,3,7,Qualified,5640
126,Noble Ltd,2024-05-21,North,Education,Referral,3,3,New,8007
127,"Watts, Prince and Pace",2025-12-24,North,Education,Paid Search,5,7,New,16356
128,Collins-Phillips,2024-12-04,South,Education,Webinar,8,12,Qualified,5040
129,Mcfarland and Sons,2024-07-30,East,Education,Webinar,2,11,Won,22139
130,"Harding, Rice and Patel",2025-12-13,North,Technology,Organic Search,1,7,New,15464
131,Burch-Pena,2025-05-03,North,Finance,Organic Search,10,4,New,12784
132,Blankenship Group,2025-02-03,South,Education,Organic Search,1,10,Won,20636
133,Nolan LLC,2025-07-13,North,Retail,Organic Search,1,1,Won,18998
134,Norris-Hughes,2024-08-12,North,Education,LinkedIn Ads,6,3,New,3951
135,Saunders-Terry,2025-02-02,East,Manufacturing,Referral,3,11,Qualified,16248
136,Edwards Group,2024-06-18,South,Retail,Organic Search,1,6,Won,23390
137,Welch and Sons,2025-06-30,South,Education,Paid Search,4,2,New,22395
138,"Beltran, Hernandez and Coffey",2025-07-31,South,Healthcare,LinkedIn Ads,6,6,Proposal,24061
139,"Austin, Gray and Payne",2025-03-14,North,Education,Paid Search,5,3,New,8954
140,"Jones, Horne and Arellano",2024-02-21,North,Finance,Organic Search,10,1,New,9935
141,Hansen LLC,2025-04-10,North,Education,LinkedIn Ads,6,5,Qualified,12117
142,Cobb-Norton,2025-03-07,North,Healthcare,Webinar,8,1,New,18411
143,Gutierrez-Martin,2024-01-20,South,Healthcare,Organic Search,1,10,Proposal,14467
144,Cantu-Adkins,2024-08-17,North,Manufacturing,Webinar,8,7,Proposal,4319
145,Cooper-Hughes,2024-02-01,South,Retail,Webinar,8,6,Lost,3667
146,Jones Group,2025-09-28,West,Retail,LinkedIn Ads,7,8,New,18517
147,"Lewis, Mckee and Weaver",2025-11-16,East,Retail,Webinar,9,11,New,18238
148,Ritter and Sons,2025-12-17,North,Finance,Webinar,9,1,New,8498
149,"Wilson, Snyder and Murray",2025-09-12,South,Manufacturing,Paid Search,5,12,Proposal,6753
150,"Caldwell, Brown and Terrell",2024-06-16,South,Healthcare,LinkedIn Ads,7,2,Lost,21962
151,Jones-Washington,2024-01-27,North,Technology,Webinar,9,4,Lost,15298
152,"Greer, Jackson and Miller",2025-02-10,South,Retail,Webinar,2,12,Lost,5490
153,"Mitchell, Tucker and Reyes",2025-08-29,North,Manufacturing,Webinar,9,1,Proposal,10957
154,Jones-Hanson,2024-04-14,South,Finance,Webinar,8,12,Proposal,22674
155,Torres PLC,2024-05-03,North,Technology,LinkedIn Ads,7,3,Won,4345
156,Waters PLC,2024-12-21,North,Manufacturing,Webinar,2,4,Qualified,15142
157,"Gallagher, Garcia and Long",2024-03-11,West,Finance,Referral,3,8,Qualified,3414
158,"Rojas, Herring and Garza",2025-03-06,North,Healthcare,Webinar,9,5,Won,17205
159,Torres-White,2025-01-05,North,Education,LinkedIn Ads,7,3,Proposal,8013
160,Moore-Williams,2025-03-21,South,Technology,LinkedIn Ads,6,10,New,24314
161,Tate-Martinez,2024-10-03,South,Technology,Paid Search,4,10,Proposal,18843
162,Lewis-Braun,2025-04-21,East,Manufacturing,LinkedIn Ads,7,11,Qualified,22414
163,"Leach, Brown and Turner",2024-10-01,South,Retail,Webinar,9,12,Qualified,5839
164,Marks PLC,2024-10-12,North,Retail,Organic Search,1,7,Won,18227
165,"Francis, Ortega and Fisher",2025-08-06,East,Education,Webinar,8,11,Proposal,14023
166,Stevenson Group,2024-01-30,South,Finance,Paid Search,5,6,Qualified,8958
167,Montgomery-Hernandez,2025-05-14,North,Finance,LinkedIn Ads,7,7,New,14152
168,Harris Ltd,2024-10-13,North,Manufacturing,LinkedIn Ads,7,3,Won,12052
169,Hayes-Davies,2025-07-23,West,Retail,LinkedIn Ads,6,8,New,5805
170,Williams Ltd,2024-09-04,South,Education,Paid Search,5,6,Proposal,21192
171,Mejia Group,2024-09-03,South,Manufacturing,Webinar,9,10,Proposal,19083
172,Hopkins-Khan,2025-04-03,South,Healthcare,LinkedIn Ads,6,2,Won,12641
173,Bowman PLC,2024-08-14,North,Retail,Organic Search,1,1,Qualified,13033
174,Becker and Sons,2025-11-10,North,Education,Webinar,9,5,Proposal,21136
175,"Hill, Walters and Williams",2025-06-27,North,Manufacturing,Referral,3,4,Qualified,21035
176,Ellis-Johnston,2024-12-04,South,Education,Webinar,2,10,Qualified,11877
177,Winters-Cruz,2024-11-09,South,Healthcare,LinkedIn Ads,7,2,New,9310
178,Franklin Ltd,2024-11-19,South,Technology,LinkedIn Ads,6,2,New,9066
179,Williamson PLC,2024-07-15,South,Education,Paid Search,4,6,New,12060
180,Dawson PLC,2025-08-26,North,Technology,LinkedIn Ads,7,5,Lost,22555
181,Parker Ltd,2024-10-16,East,Retail,Referral,3,11,Lost,12707
182,"Kelly, Nguyen and Copeland",2024-08-20,West,Finance,Paid Search,5,8,Qualified,3463
183,"Barry, Hurst and Brown",2025-12-26,North,Finance,LinkedIn Ads,6,5,Qualified,4491
184,Henderson and Sons,2024-02-25,East,Manufacturing,LinkedIn Ads,7,11,Proposal,7137
185,Garner-Dunn,2025-10-15,South,Education,LinkedIn Ads,6,12,Won,6361
186,Williams Ltd,2024-01-13,East,Education,Webinar,2,9,Proposal,18686
187,Lam-Scott,2025-03-27,South,Healthcare,Webinar,2,10,Qualified,11273
188,Elliott LLC,2025-05-04,South,Healthcare,Webinar,9,6,New,16130
189,Cook-Adams,2025-05-18,North,Manufacturing,Webinar,8,3,New,4756
190,Hall-Hale,2024-06-04,North,Technology,Webinar,9,3,New,12956
191,"Burns, Scott and Strickland",2024-03-28,South,Healthcare,Paid Search,4,2,Lost,21286
192,Gray LLC,2025-03-02,South,Technology,Webinar,2,2,Proposal,10395
193,"Robinson, Powell and Castillo",2025-06-19,South,Education,Paid Search,4,12,Qualified,12743
194,"Brady, Aguilar and Garrison",2025-08-25,East,Finance,LinkedIn Ads,6,11,Lost,21632
195,Medina LLC,2025-09-27,South,Manufacturing,Webinar,9,10,New,6251
196,"Dillon, Vincent and Alexander",2024-07-31,North,Finance,Organic Search,1,7,Proposal,24640
197,"Garza, Phillips and Carney",2024-03-24,North,Retail,LinkedIn Ads,6,3,New,21087
198,Jacobs-Boone,2024-03-17,South,Education,Organic Search,10,12,New,17762
199,Ross Ltd,2025-12-06,South,Finance,Organic Search,10,10,Proposal,4069
200,Davis-Wilson,2024-08-25,North,Finance,Paid Search,5,3,New,17877
201,Johnson-Lopez,2024-03-13,East,Finance,Paid Search,5,9,Proposal,23481
202,Rivera-Thompson,2025-08-26,South,Retail,LinkedIn Ads,6,2,Proposal,16930
203,"Henderson, Thomas and Washington",2024-04-27,South,Manufacturing,Organic Search,1,12,Qualified,7882
204,Harmon LLC,2024-09-29,South,Healthcare,Organic Search,1,2,Won,4954
205,White LLC,2024-06-18,South,Technology,LinkedIn Ads,7,2,Won,21651
206,"Taylor, Jordan and Benjamin",2024-10-22,North,Education,Paid Search,5,3,Qualified,12964
207,Flynn Ltd,2025-12-17,North,Finance,LinkedIn Ads,7,5,Qualified,19399
208,Johnson LLC,2025-07-06,South,Healthcare,Paid Search,5,6,Qualified,22596
209,Perry-Bruce,2024-02-10,South,Manufacturing,Organic Search,1,2,Won,13561
210,Turner PLC,2025-09-10,South,Healthcare,Paid Search,4,12,New,10501
211,Owens-Sanchez,2025-11-21,South,Technology,Webinar,2,2,Won,22238
212,"Morris, Gregory and Thompson",2024-01-22,South,Manufacturing,Webinar,8,6,Lost,11831
213,West-Alvarez,2025-08-13,North,Retail,Organic Search,10,4,New,18417
214,Hood PLC,2025-06-15,North,Finance,Webinar,8,1,Proposal,8947
215,"Hancock, Herman and Macdonald",2025-08-22,East,Education,Webinar,2,9,Qualified,5989
216,Warren and Sons,2025-04-26,North,Finance,LinkedIn Ads,7,3,Qualified,13520
217,"Wilson, Smith and Pearson",2025-11-17,East,Retail,Webinar,9,11,New,13807
218,"Jimenez, Graves and Hines",2025-02-25,South,Finance,Webinar,8,2,Proposal,24711
219,"Little, Castro and Stevenson",2025-02-14,West,Technology,Webinar,8,8,Won,4202
220,"Knox, Davis and Alvarado",2025-04-10,North,Finance,Organic Search,1,7,New,13593
221,Thompson-Scott,2024-04-28,North,Education,Webinar,2,5,Lost,19862
222,Bennett-Ortega,2024-01-02,North,Technology,Webinar,9,5,Proposal,18138
223,"Cole, Moore and Thomas",2025-02-27,North,Technology,Organic Search,1,7,New,14854
224,Collins PLC,2025-09-29,West,Manufacturing,Paid Search,4,8,Won,17484
225,Jenkins LLC,2024-02-22,North,Technology,Paid Search,5,3,New,7293
226,Spencer PLC,2024-10-21,South,Manufacturing,Paid Search,5,6,Qualified,18883
227,"Juarez, Pierce and Meyer",2024-05-04,North,Manufacturing,Organic Search,10,4,New,22951
228,Stewart-Peters,2024-09-02,South,Finance,Webinar,8,10,Proposal,21049
229,Nguyen-Walters,2024-01-15,South,Healthcare,Webinar,2,2,Proposal,10362
230,"Dominguez, Chapman and Brown",2024-04-26,North,Healthcare,Organic Search,1,5,Qualified,24224
231,Brown and Sons,2024-06-06,South,Manufacturing,Webinar,8,6,Qualified,12563
232,Hammond PLC,2025-06-05,West,Education,Paid Search,5,8,Proposal,18810
233,"White, Cook and Whitaker",2025-04-28,North,Technology,Referral,3,5,New,7739
234,"Hartman, Calhoun and Simmons",2025-01-27,East,Technology,Webinar,8,11,New,19654
235,Lambert-Lewis,2024-05-19,East,Finance,LinkedIn Ads,7,9,Won,16596
236,"Thompson, Fernandez and Riggs",2024-12-14,North,Technology,Webinar,9,7,Lost,11754
237,Cruz Group,2024-01-03,North,Finance,Webinar,2,7,New,22232
238,"Williamson, Humphrey and Merritt",2025-08-16,North,Education,Organic Search,10,7,Lost,7869
239,"Murphy, Gardner and Singh",2025-04-02,North,Finance,LinkedIn Ads,6,5,Qualified,13893
240,Martin Inc,2025-07-19,East,Education,Webinar,8,11,Won,17920
241,Patel-Armstrong,2024-11-25,North,Manufacturing,Webinar,2,7,Won,10825
242,"Gates, Smith and Garcia",2025-08-08,South,Education,Organic Search,10,10,Qualified,4430
243,Stone LLC,2024-11-21,North,Manufacturing,Webinar,8,1,Proposal,15492
244,Cordova Inc,2025-01-30,South,Manufacturing,LinkedIn Ads,6,12,Lost,7984
245,Jennings LLC,2025-05-22,South,Retail,LinkedIn Ads,6,6,Lost,19459
246,Alvarez Group,2025-08-27,South,Healthcare,LinkedIn Ads,7,2,Qualified,17427
247,"French, Perry and Ortiz",2024-04-12,North,Education,Webinar,9,1,Qualified,3502
248,"Johns, Taylor and Carter",2024-05-27,East,Manufacturing,Paid Search,5,9,Qualified,8058
249,"Harmon, Pham and Mcclain",2024-03-17,South,Finance,LinkedIn Ads,7,2,Qualified,14093
250,Russell Inc,2025-09-30,West,Manufacturing,Paid Search,4,8,Proposal,5631
251,Johnston Inc,2024-12-02,South,Technology,Webinar,8,2,Won,15452
252,"Rich, Garcia and Gomez",2024-11-20,North,Education,Organic Search,10,5,Proposal,20728
253,Jones LLC,2024-02-06,South,Retail,Webinar,9,12,Proposal,23681
254,"Dixon, White and Ramirez",2025-12-01,North,Retail,Paid Search,5,1,Lost,5961
255,Bryant-Walker,2025-03-20,North,Manufacturing,Webinar,2,3,Lost,6293
256,Lee LLC,2025-03-30,East,Finance,Referral,3,11,New,3948
257,"Luna, Mcguire and Anderson",2024-02-17,North,Healthcare,Paid Search,5,7,Qualified,12613
258,"Smith, Garcia and Yang",2025-01-02,North,Retail,Organic Search,1,4,Qualified,11001
259,Carter Group,2025-06-27,North,Manufacturing,Webinar,2,3,Qualified,8900
260,Mcmahon Ltd,2024-06-23,North,Technology,LinkedIn Ads,6,4,New,15535
261,"Walker, Miller and Boyd",2025-09-26,South,Education,Webinar,2,2,Proposal,22108
262,"Russell, Perez and Forbes",2024-05-26,South,Manufacturing,LinkedIn Ads,7,10,New,11322
263,Knight and Sons,2025-04-15,North,Healthcare,Webinar,9,5,New,18245
264,"Malone, Hall and Savage",2024-10-21,North,Retail,Paid Search,4,5,Proposal,5420
265,Glover and Sons,2025-03-28,North,Technology,LinkedIn Ads,7,5,Lost,12802
266,Collins-Mclaughlin,2025-10-16,North,Manufacturing,Organic Search,1,7,Lost,11195
267,Waters-Peters,2025-04-12,South,Retail,Paid Search,4,2,Won,15605
268,Petty and Sons,2025-05-09,South,Education,Paid Search,4,2,New,21740
269,Jones-Wagner,2025-01-02,North,Manufacturing,LinkedIn Ads,7,5,Proposal,12674
270,Jackson Ltd,2024-01-23,North,Manufacturing,Paid Search,5,3,Lost,15969
271,Wood Ltd,2024-10-08,North,Manufacturing,Paid Search,4,7,New,4607
272,Robbins Group,2025-09-12,South,Finance,Referral,3,10,Proposal,10540
273,"Carter, Cook and Whitaker",2025-09-13,South,Retail,Webinar,2,10,Won,23860
274,Robinson-Carpenter,2024-07-13,North,Manufacturing,Organic Search,1,1,Proposal,24600
275,"Lambert, Barton and Taylor",2025-11-28,North,Manufacturing,Webinar,2,7,Won,6183
276,"Haas, Crawford and Fry",2025-10-04,West,Finance,LinkedIn Ads,7,8,Proposal,17444
277,Lang PLC,2024-02-04,North,Manufacturing,LinkedIn Ads,6,3,Proposal,7306
278,"Trujillo, Richardson and Brown",2024-04-02,North,Finance,Organic Search,10,3,Lost,16615
279,Brown LLC,2024-06-28,North,Technology,Webinar,8,3,New,14988
280,Brewer Inc,2025-06-27,North,Finance,Webinar,8,5,Qualified,8391
281,Bruce Group,2024-09-20,North,Education,Webinar,9,4,Lost,12671
282,"Smith, Friedman and Perry",2024-12-12,East,Education,Organic Search,1,11,Won,5467
283,Garcia-Thomas,2024-05-24,North,Retail,Paid Search,5,5,Won,16022
284,Rodriguez Inc,2025-07-24,North,Education,Paid Search,4,7,Qualified,3456
285,Thomas-Galvan,2024-09-27,South,Education,Webinar,8,12,Qualified,15077
286,Kirk Ltd,2025-11-19,North,Finance,Organic Search,10,3,Proposal,22154
287,Burgess-Ramos,2025-01-25,North,Finance,Organic Search,10,3,Won,6550
288,Powers Ltd,2025-11-22,East,Healthcare,Webinar,8,9,New,23301
289,Thompson-Davis,2025-07-28,West,Technology,Paid Search,5,8,Qualified,10253
290,"Davis, Glenn and Molina",2025-10-25,South,Education,Webinar,9,12,New,12902
291,"Jimenez, Ingram and Jones",2025-10-26,North,Retail,LinkedIn Ads,7,4,Qualified,4485
292,Atkins Inc,2024-02-08,North,Education,Organic Search,1,7,Qualified,6805
293,Wolf-Rodriguez,2024-04-09,South,Technology,Webinar,8,10,New,7445
294,"Davies, Craig and Anderson",2025-02-01,North,Manufacturing,Organic Search,1,4,Qualified,20701
295,Pittman-Wagner,2025-03-05,East,Manufacturing,LinkedIn Ads,6,9,Proposal,8063
296,"Campbell, Pierce and Brown",2025-02-28,North,Education,Paid Search,4,4,Proposal,23173
297,Kaufman-Valdez,2025-02-21,North,Finance,Paid Search,5,7,Lost,4072
298,Evans-Martin,2025-12-07,East,Education,Paid Search,4,11,Qualified,17571
299,Miller PLC,2024-08-29,North,Healthcare,Referral,3,4,Won,15036
300,Curtis-Hall,2025-07-11,North,Manufacturing,Paid Search,5,3,Lost,14753
301,"Thompson, Moore and Smith",2024-03-03,West,Retail,LinkedIn Ads,6,8,Qualified,7002
302,"Bauer, Perry and Sloan",2025-04-10,North,Retail,Referral,3,5,New,24027
303,Ray Group,2025-10-16,North,Healthcare,Webinar,9,3,Proposal,4657
304,Berry LLC,2024-12-07,North,Retail,Referral,3,1,New,21500
305,Bond-Krueger,2024-07-29,North,Technology,Webinar,8,1,New,9788
306,"Willis, Jackson and English",2025-08-23,South,Retail,Referral,3,6,New,13766
307,Stewart LLC,2024-05-31,East,Technology,Organic Search,1,11,Won,3092
308,Clark-Lopez,2024-10-10,South,Retail,LinkedIn Ads,6,2,Won,7259
309,"Taylor, Mitchell and Cole",2025-07-07,South,Retail,Organic Search,1,10,New,6602
310,"Warren, Morgan and Moore",2025-11-07,North,Retail,Paid Search,4,3,Won,3486
311,"Thomas, Thompson and Parsons",2025-01-01,North,Retail,Referral,3,7,Won,22295
312,Norton Group,2024-11-27,South,Finance,Organic Search,1,6,New,4717
313,Robinson-Olson,2024-05-09,South,Technology,LinkedIn Ads,7,12,Proposal,6724
314,"Mercer, Harding and Peterson",2024-03-06,South,Finance,Referral,3,2,Qualified,19817
315,"Daniel, Fox and Phillips",2025-08-30,East,Technology,Webinar,2,11,New,10259
316,"Henry, Tucker and Collins",2025-09-21,South,Manufacturing,Organic Search,10,10,New,20086
317,Walker Ltd,2024-11-04,South,Healthcare,Webinar,2,10,Qualified,4993
318,Williams-Johns,2025-05-05,West,Education,LinkedIn Ads,7,8,Won,6537
319,"Wells, Clarke and Hunter",2025-05-17,South,Education,Webinar,2,6,Proposal,5408
320,Morgan-Nguyen,2024-03-23,East,Retail,LinkedIn Ads,6,9,Qualified,5152
